市  町  村,面積,世帯数,人口(2023.10.1),,,人口増減数(2022.10.1～2023.9.30),,人口密度(１K㎡当たり),人口割合（2020.10.1),,民営事業所(2021.6.1),,製造品出荷額等,年間商品販売額,総農家数,経営耕地面積,自動車保有車両総数,普通会計歳出決算額,個人住民税負担額,交通事故発生件数,刑法犯認知件数
高石市,11,23538,54582,25732,28850,-341,-203,4830,13,29,1884,19182,316102,45900,104,24,26596,26325958,5523114,227,358
藤井寺市,9,28206,62236,29281,32955,-392,-265,7001,12,29,2581,20240,39323,95000,173,35,27756,25049099,6011219,170,275
東大阪市,62,237531,486255,236153,250102,-3325,1581,7871,11,29,24408,241693,1076181,1871423,532,134,215746,227452704,42963434,1815,4040
泉南市,49,23339,57919,27574,30345,-391,-407,1183,13,30,1943,22836,74850,75114,502,218,36412,26556664,3966639,172,346
四條畷市　,19,22717,54085,26110,27975,-292,-116,2894,13,28,1848,16106,26525,62435,170,62,24998,21995295,4907973,102,432
交野市,26,30469,74635,35433,39202,-373,199,2921,13,29,1930,17935,68135,62225,374,117,36155,29513196,7376745,258,242
大阪狭山市,12,24588,57715,26922,30793,-223,-85,4842,14,29,1761,20075,53230,57214,277,89,29380,22500816,6081110,169,233
阪南市,36,20736,48906,23073,25833,-467,-294,1352,11,33,1459,11696,27915,27406,347,99,30938,20581311,4052995,113,247
島本町,17,12993,30714,14424,16290,-132,44,1827,15,28,583,7370,70966,15755,117,36,10777,14017675,3140990,36,91
豊能町,34,7591,17383,8225,9158,-263,-99,506,7,47,379,2416,879,4085,283,144,10989,8339185,1607110,15,34
能勢町,99,3618,8502,4076,4426,-115,-53,86,7,42,383,3264,7239,7364,870,570,9554,6036905,615687,9,18
忠岡町,4,6900,16212,7767,8445,-189,69,4084,12,29,608,6413,60482,34785,58,15,10674,8319346,1299247,62,101
熊取町,17,17760,43220,20975,22245,-165,6,2507,13,29,1154,9813,27146,22679,290,103,25203,17584111,3672243,97,197
田尻町,6,3650,8158,4000,4158,-61,12,1452,14,24,347,5997,7438,11664,69,23,5026,5562234,655860,25,58
岬町,49,6256,14104,6499,7605,-213,40,287,8,41,391,3290,3921,8362,124,31,9715,8078125,1078464,26,59
太子町,14,5111,12589,6113,6476,-77,-38,888,12,30,355,3006,9035,8998,232,82,9199,6394939,1094796,23,54
河南町,25,6454,15132,7348,7784,-152,-51,599,11,32,490,5042,x,10677,603,198,12018,6504827,1221144,27,48
千早赤阪村,37,1918,4620,2159,2461,-71,-25,124,8,46,194,1614,x,6442,235,78,4446,4120003,335665,2,9
資料,国土地理院,大阪府統計課,,,,,,,総務省
統計局,,総務省
経済産業省,,大阪府統計課,総務省
経済産業省,大阪府統計課,,(一財)自動車検査登録情報協会,大阪府市町村局
大阪府徴税対策課,,大阪府警察本部,
